Home,Away,1,            x,2
Newcastle United,West Ham United,1.52,4.9,6
Empoli FC,Udinese Calcio,2.85,2.95,2.85
Port Vale,Crewe Alexandra,1.81,3.35,4.6
Trabzonspor,Adana Demirspor,1.39,5,6.8
FC Midtjylland,Silkeborg IF,1.7,4.2,4.9
FC Botosani,CSM Politehnica Iasi,2.37,3.1,3.05
Vendsyssel FF,Odense Boldklub,6,4.5,1.42
KF Drita,KF Llapi,1.72,3.5,4.5
Aveley FC,St. Albans City,2.8,3.4,2.28
Puszcza Niepolomice,Widzew Lodz,3.05,3.45,2.21
Igdir FK,Amed Sportif Faaliyetler,2,3.15,3.65
FC Dinamo Minsk,Bate Borisov,1.41,4.1,7.2
Atromitos Athinon,APO Levadiakos FC,1.72,3.5,4.9
PFC Slavia Sofia,FC Krumovgrad,1.93,3.25,4.1
FK Zemun,FK Indjija,1.92,3.2,3.95
FC Polissya Zhytomyr,FC Zorya Lugansk,1.73,3.6,4.7
Miedz Legnica,Wisla Plock,2.03,3.4,3.3
USL Dunkerque,AC Ajaccio,1.99,3.3,3.8
Goias EC GO,Gremio Novorizontino SP,3.2,3.1,2.32
Asyut Petroleum,El Mansurah,1.76,3.5,4.2
Al-Faisaly FC,Al Safa SC (SA),1.69,3.6,4.5
AC Carpi,Ternana Calcio,6.6,4.2,1.48
AL Karma,Al Zawraa,4.3,3.55,1.8
Juticalpa FC,FC Motagua Tegucigalpa,5,3.75,1.59
CD Godoy Cruz,Velez Sarsfield,4.4,3.25,1.86
CSKA Sofia II,FK CSKA 1948 II,2.85,3.15,2.36
AL Jazira AL Hamra,Dubai United FC,3.7,4.1,1.74
America de Cali,CD Once Caldas,1.69,3.25,5.2
Club Olimpia,Nacional Asuncion,1.71,3.45,4.7
Empoli FC Srl,Udinese Calcio SRL,2.75,2.8,2.7
Hadiya Hossana FC,Ethiopian Coffee SC,2.32,3,3.1
FK Jezero Plav,FK Sutjeska Niksic,3.45,2.95,2.18
AEK Larnaca,Karmiotissa FC,1.25,5.4,9.6
East Riffa,Sitra Club,3.45,3.25,2.03
FUS Rabat,Maghreb AS de Fes,1.99,3,3.9
Glacis United,Lynx FC,2.11,3.7,2.9
Tivoli Gardens,Harbour View FC,2,3.35,3.45
AC Monza U20,ACF Fiorentina U20,3.25,3.85,1.91
Club Tijuana de Caliente,Atlas FC,2.04,3.35,3.55
Newcastle United SRL,West Ham United SRL,1.47,4.5,5.4
Trabzonspor SRL,Adana Demirspor Srl,1.44,4.5,5.8
EC Sao Jose RS,Ypiranga FC RS,2.2,2.9,3.45
CSD Xelaju MC,Deportivo Mixco,1.6,3.55,5.4
FC Dordrecht,TOP Oss,1.47,4.8,5.6
CD. Cacahuatique,Municipal Limeno,2.17,2.9,3.5
AO Egaleo 1931 PAE,GS Ilioupoli,3.05,2.95,2.37
KS Kukesi,FK Vora,6.4,3.9,1.47
AL Nasr SC (OMA),Al-Seeb,4.8,3.35,1.72
Los Angeles Galaxy,Minnesota United FC,1.73,4,4.1
HNK Vukovar 1991,NK Dubrava Zagreb,1.49,3.9,6.2
Kisvarda FC,Budapest Honved FC,1.53,4.3,5
Club Atletico Los Andes,Deportivo Armenio,2.9,2.5,2.9
Hyderabad FC,Odisha FC,4.3,4.2,1.62
Municipal Liberia,CS Herediano,2.9,3.3,2.26